id;day;entry;gentreatment;latency;cens
130014264;Rev 1;1;3;60;0
130014264;Rev 1;2;3;19,39;1
130014264;Rev 1;3;3;23,45;1
130014264;Rev 1;4;3;30,64;1
130014264;Rev 2;1;3;60;0
130014264;Rev 2;2;3;6,3;1
130014264;Rev 2;3;3;7,16;1
130014264;Rev 2;4;3;9,4;1
130014264;Rev 3;1;3;52,82;1
130014264;Rev 3;2;3;5,11;1
130014264;Rev 3;3;3;13,52;1
130014264;Rev 3;4;3;22,18;1
130014265;Rev 1;1;3;60;0
130014265;Rev 1;2;3;3,77;1
130014265;Rev 1;3;3;10,36;1
130014265;Rev 1;4;3;5,89;1
130014265;Rev 2;1;3;57,41;1
130014265;Rev 2;2;3;14,98;1
130014265;Rev 2;3;3;35,73;1
130014265;Rev 2;4;3;9,34;1
130014265;Rev 3;1;3;8,66;1
130014265;Rev 3;2;3;17,12;1
130014265;Rev 3;3;3;14,25;1
130014265;Rev 3;4;3;6,48;1
130014291;Rev 1;1;2;60;0
130014291;Rev 1;2;2;60;0
130014291;Rev 1;3;2;54,41;1
130014291;Rev 1;4;2;32,2;1
130014291;Rev 2;1;2;41,76;1
130014291;Rev 2;2;2;39,98;1
130014291;Rev 2;3;2;26,85;1
130014291;Rev 2;4;2;60;0
130014291;Rev 3;1;2;60;0
130014291;Rev 3;2;2;60;0
130014291;Rev 3;3;2;16,09;1
130014291;Rev 3;4;2;32,45;1
130014292;Rev 1;1;1;60;0
130014292;Rev 1;2;1;60;0
130014292;Rev 1;3;1;60;0
130014292;Rev 1;4;1;60;0
130014292;Rev 2;1;1;60;0
130014292;Rev 2;2;1;60;0
130014292;Rev 2;3;1;60;0
130014292;Rev 2;4;1;35,16;1
130014292;Rev 3;1;1;19,42;1
130014292;Rev 3;2;1;39,18;1
130014292;Rev 3;3;1;39,24;1
130014292;Rev 3;4;1;29,79;1
130014750;Rev 1;1;3;60;0
130014750;Rev 1;2;3;60;0
130014750;Rev 1;3;3;38,98;1
130014750;Rev 1;4;3;60;0
130014750;Rev 2;1;3;60;0
130014750;Rev 2;2;3;12,95;1
130014750;Rev 2;3;3;39,98;1
130014750;Rev 2;4;3;31,01;1
130014750;Rev 3;1;3;60;0
130014750;Rev 3;2;3;42,36;1
130014750;Rev 3;3;3;8,87;1
130014750;Rev 3;4;3;31,82;1
130014751;Rev 1;1;3;60;0
130014751;Rev 1;2;3;7,36;1
130014751;Rev 1;3;3;7,51;1
130014751;Rev 1;4;3;18,59;1
130014751;Rev 2;1;3;42,94;1
130014751;Rev 2;2;3;30,2;1
130014751;Rev 2;3;3;8,21;1
130014751;Rev 2;4;3;6,25;1
130014751;Rev 3;1;3;5,27;1
130014751;Rev 3;2;3;6,05;1
130014751;Rev 3;3;3;7,28;1
130014751;Rev 3;4;3;7,95;1
130014753;Rev 1;1;3;19,45;1
130014753;Rev 1;2;3;2,89;1
130014753;Rev 1;3;3;9,44;1
130014753;Rev 1;4;3;7,68;1
130014753;Rev 2;1;3;16,05;1
130014753;Rev 2;2;3;60;0
130014753;Rev 2;3;3;60;0
130014753;Rev 2;4;3;4,27;1
130014753;Rev 3;1;3;5,92;1
130014753;Rev 3;2;3;9,34;1
130014753;Rev 3;3;3;35,81;1
130014753;Rev 3;4;3;5;1
130014754;Rev 1;1;4;60;0
130014754;Rev 1;2;4;23,61;1
130014754;Rev 1;3;4;60;0
130014754;Rev 1;4;4;60;0
130014754;Rev 2;1;4;60;0
130014754;Rev 2;2;4;60;0
130014754;Rev 2;3;4;10,32;1
130014754;Rev 2;4;4;60;0
130014754;Rev 3;1;4;60;0
130014754;Rev 3;2;4;60;0
130014754;Rev 3;3;4;60;0
130014754;Rev 3;4;4;60;0
130014755;Rev 1;1;4;60;0
130014755;Rev 1;2;4;35,26;1
130014755;Rev 1;3;4;50,86;1
130014755;Rev 1;4;4;15,12;1
130014755;Rev 2;1;4;60;0
130014755;Rev 2;2;4;60;0
130014755;Rev 2;3;4;59,79;1
130014755;Rev 2;4;4;60;0
130014755;Rev 3;1;4;60;0
130014755;Rev 3;2;4;60;0
130014755;Rev 3;3;4;60;0
130014755;Rev 3;4;4;34,9;1
130014756;Rev 1;1;3;60;0
130014756;Rev 1;2;3;11,67;1
130014756;Rev 1;3;3;4,38;1
130014756;Rev 1;4;3;22,69;1
130014756;Rev 2;1;3;9,78;1
130014756;Rev 2;2;3;4,33;1
130014756;Rev 2;3;3;17,38;1
130014756;Rev 2;4;3;37,18;1
130014756;Rev 3;1;3;7,79;1
130014756;Rev 3;2;3;26,33;1
130014756;Rev 3;3;3;3,28;1
130014756;Rev 3;4;3;5,75;1
130014757;Rev 1;1;4;57;1
130014757;Rev 1;2;4;60;0
130014757;Rev 1;3;4;60;0
130014757;Rev 1;4;4;25,62;1
130014757;Rev 2;1;4;23,31;1
130014757;Rev 2;2;4;9,44;1
130014757;Rev 2;3;4;20,73;1
130014757;Rev 2;4;4;16,86;1
130014757;Rev 3;1;4;60;0
130014757;Rev 3;2;4;7,36;1
130014757;Rev 3;3;4;35,12;1
130014757;Rev 3;4;4;12,86;1
130014761;Rev 1;1;1;60;0
130014761;Rev 1;2;1;2,91;1
130014761;Rev 1;3;1;13,14;1
130014761;Rev 1;4;1;60;0
130014761;Rev 2;1;1;42,93;1
130014761;Rev 2;2;1;18,38;1
130014761;Rev 2;3;1;16,43;1
130014761;Rev 2;4;1;3,48;1
